Age,Gender,Smoker,Exercise_Freq,Diet_Quality,Alcohol_Consumption
56,Other,Yes,None,Poor,None
69,Other,No,1-2 times/week,Good,High
46,Female,No,Daily,Excellent,Moderate
32,Male,No,3-5 times/week,Excellent,Moderate
60,Male,No,3-5 times/week,Excellent,Low
25,Female,No,Daily,Good,Moderate
38,Other,No,1-2 times/week,Good,High
56,Male,No,Daily,Good,Moderate
36,Male,No,Daily,Average,None
40,Other,Yes,1-2 times/week,Good,Low
28,Other,Yes,1-2 times/week,Poor,Low
28,Male,No,3-5 times/week,Average,Moderate
41,Other,No,3-5 times/week,Poor,High
53,Male,No,1-2 times/week,Excellent,Low
57,Other,No,None,Average,High
41,Other,No,3-5 times/week,Average,High
20,Female,No,1-2 times/week,Average,None
39,Other,No,1-2 times/week,Poor,Low
19,Female,Yes,None,Poor,Moderate
41,Other,No,Daily,Excellent,High
61,Male,Yes,1-2 times/week,Good,Low
47,Male,No,None,Poor,Low
55,Other,No,None,Excellent,High
19,Other,No,3-5 times/week,Good,Moderate
38,Male,No,1-2 times/week,Average,Low
50,Other,No,3-5 times/week,Good,Low
29,Female,No,Daily,Poor,Moderate
39,Female,No,Daily,Excellent,High
61,Female,No,3-5 times/week,Average,High
42,Female,No,3-5 times/week,Average,High
66,Female,No,1-2 times/week,Good,High
44,Other,Yes,1-2 times/week,Good,Moderate
59,Other,No,1-2 times/week,Poor,None
45,Female,No,Daily,Average,Moderate
33,Other,No,3-5 times/week,Good,Moderate
32,Other,No,None,Average,High
64,Female,Yes,3-5 times/week,Excellent,Low
68,Other,Yes,None,Excellent,Moderate
61,Other,Yes,1-2 times/week,Poor,High
69,Other,No,1-2 times/week,Average,Low
20,Female,Yes,3-5 times/week,Good,Moderate
54,Other,No,None,Excellent,None
68,Male,Yes,Daily,Excellent,None
24,Male,No,1-2 times/week,Poor,High
38,Female,Yes,1-2 times/week,Excellent,Low
26,Male,No,3-5 times/week,Poor,Low
56,Female,Yes,3-5 times/week,Average,High
35,Male,No,Daily,Good,High
21,Male,Yes,3-5 times/week,Average,Low
42,Male,Yes,Daily,Average,None
31,Female,No,None,Average,None
67,Female,Yes,Daily,Good,Moderate
26,Other,No,None,Average,Moderate
43,Female,No,1-2 times/week,Average,Low
19,Male,No,3-5 times/week,Poor,None
37,Male,No,1-2 times/week,Poor,Moderate
45,Female,No,Daily,Poor,None
64,Female,No,Daily,Good,None
24,Female,No,Daily,Excellent,Low
61,Other,Yes,None,Excellent,None
25,Male,No,1-2 times/week,Average,Low
64,Other,No,1-2 times/week,Excellent,Moderate
52,Other,Yes,Daily,Average,High
31,Male,No,3-5 times/week,Poor,None
34,Male,No,1-2 times/week,Average,High
53,Female,Yes,3-5 times/week,Good,High
67,Female,Yes,1-2 times/week,Excellent,Low
57,Other,No,Daily,Average,None
21,Female,No,Daily,Poor,None
19,Female,No,1-2 times/week,Good,Moderate
23,Male,No,None,Average,High
59,Male,No,None,Average,High
21,Female,No,1-2 times/week,Average,Low
46,Male,Yes,Daily,Good,None
35,Female,No,1-2 times/week,Average,None
43,Male,Yes,3-5 times/week,Poor,High
61,Male,Yes,Daily,Poor,Moderate
51,Male,No,None,Poor,High
27,Male,No,None,Poor,None
53,Female,No,1-2 times/week,Good,Low
31,Other,No,3-5 times/week,Poor,Low
48,Male,No,Daily,Poor,Low
65,Female,Yes,None,Excellent,None
32,Female,No,1-2 times/week,Poor,None
25,Male,No,1-2 times/week,Good,Low
31,Other,No,Daily,Excellent,None
40,Male,No,1-2 times/week,Excellent,Moderate
57,Female,No,1-2 times/week,Good,Low
38,Other,Yes,1-2 times/week,Excellent,Moderate
33,Female,No,None,Average,Moderate
62,Male,No,None,Poor,None
35,Other,Yes,3-5 times/week,Average,None
64,Female,Yes,Daily,Good,Low
41,Female,No,Daily,Average,None
43,Female,No,Daily,Good,Moderate
42,Male,Yes,Daily,Average,None
62,Other,No,1-2 times/week,Poor,Low
58,Male,No,Daily,Good,High
46,Male,No,3-5 times/week,Good,High
32,Male,No,Daily,Good,None
62,Other,No,Daily,Excellent,High
18,Male,Yes,1-2 times/week,Poor,Moderate
42,Male,No,1-2 times/week,Excellent,High
24,Male,No,1-2 times/week,Excellent,High
26,Male,No,3-5 times/week,Poor,Moderate
41,Female,No,1-2 times/week,Good,Low
18,Male,No,Daily,Excellent,High
61,Female,No,3-5 times/week,Excellent,High
25,Male,Yes,None,Good,High
41,Other,No,1-2 times/week,Poor,Low
28,Female,Yes,3-5 times/week,Poor,None
68,Female,No,None,Poor,None
34,Female,No,1-2 times/week,Excellent,Low
25,Female,No,None,Poor,Moderate
52,Other,No,1-2 times/week,Poor,None
52,Male,Yes,3-5 times/week,Excellent,Low
50,Female,Yes,1-2 times/week,Poor,Low
22,Other,No,1-2 times/week,Average,Moderate
59,Female,No,3-5 times/week,Poor,Low
56,Male,No,3-5 times/week,Poor,None
58,Female,Yes,Daily,Good,None
45,Other,No,Daily,Excellent,Low
24,Male,No,3-5 times/week,Good,Low
26,Other,Yes,1-2 times/week,Average,Moderate
25,Male,Yes,None,Poor,Moderate
29,Male,No,3-5 times/week,Good,High
51,Male,No,None,Good,Low
50,Female,No,Daily,Average,High
65,Other,No,Daily,Poor,High
40,Other,Yes,3-5 times/week,Good,High
41,Other,No,3-5 times/week,Poor,High
54,Male,Yes,1-2 times/week,Average,None
52,Female,No,Daily,Average,Moderate
61,Male,No,Daily,Poor,Low
57,Other,No,3-5 times/week,Average,Moderate
39,Female,No,None,Excellent,Moderate
44,Female,Yes,1-2 times/week,Good,Moderate
52,Female,Yes,3-5 times/week,Excellent,Moderate
18,Other,No,None,Excellent,Moderate
52,Female,No,1-2 times/week,Average,Moderate
54,Female,No,None,Average,None
64,Male,No,1-2 times/week,Poor,Moderate
31,Male,Yes,1-2 times/week,Excellent,Low
20,Female,No,1-2 times/week,Good,Low
18,Female,No,Daily,Poor,High
22,Male,No,3-5 times/week,Poor,High
43,Male,No,Daily,Poor,Moderate
31,Male,No,Daily,Average,High
56,Other,No,1-2 times/week,Average,High
44,Other,No,3-5 times/week,Poor,Moderate
26,Male,Yes,3-5 times/week,Average,High
32,Female,No,3-5 times/week,Average,Low
32,Male,Yes,3-5 times/week,Poor,Moderate
43,Other,No,1-2 times/week,Good,Low
59,Female,No,3-5 times/week,Good,Low
30,Other,No,None,Average,None
68,Female,No,None,Good,None
49,Other,No,Daily,Good,High
56,Female,No,1-2 times/week,Average,Low
66,Female,No,Daily,Good,High
69,Female,Yes,Daily,Average,Moderate
49,Female,No,3-5 times/week,Excellent,Low
21,Other,No,None,Poor,High
47,Other,No,None,Good,Low
54,Female,Yes,3-5 times/week,Poor,High
40,Female,No,3-5 times/week,Poor,Moderate
56,Other,Yes,1-2 times/week,Average,None
62,Female,No,None,Good,Low
32,Female,No,Daily,Good,High
60,Female,No,Daily,Excellent,None
46,Male,No,1-2 times/week,Good,Moderate
53,Female,No,None,Good,None
30,Male,No,3-5 times/week,Average,Moderate
49,Female,Yes,Daily,Poor,High
24,Other,No,None,Excellent,Moderate
68,Male,No,None,Good,None
39,Male,No,None,Good,High
45,Female,No,3-5 times/week,Excellent,High
19,Female,Yes,Daily,Average,Low
59,Male,No,3-5 times/week,Good,High
62,Other,No,None,Good,High
23,Other,Yes,None,Excellent,High
45,Female,No,Daily,Poor,Low
45,Other,Yes,Daily,Good,Moderate
61,Other,No,3-5 times/week,Good,None
61,Female,No,3-5 times/week,Poor,High
37,Other,No,3-5 times/week,Good,None
47,Female,No,None,Poor,None
28,Male,No,Daily,Average,High
45,Female,No,1-2 times/week,Poor,None
42,Male,No,Daily,Poor,Moderate
56,Male,Yes,Daily,Good,None
50,Other,Yes,Daily,Good,None
18,Other,Yes,1-2 times/week,Excellent,Low
44,Other,No,3-5 times/week,Good,Moderate
69,Female,No,1-2 times/week,Good,None
30,Other,No,Daily,Poor,High
58,Male,Yes,Daily,Average,None
20,Other,Yes,None,Good,High
56,Other,No,Daily,Poor,Moderate
23,Female,Yes,1-2 times/week,Excellent,Moderate
25,Female,No,1-2 times/week,Excellent,Low
44,Male,No,1-2 times/week,Average,High
26,Female,No,3-5 times/week,Average,High
54,Other,Yes,None,Average,Moderate
50,Female,No,3-5 times/week,Poor,High
68,Male,No,1-2 times/week,Good,High
59,Other,No,3-5 times/week,Poor,None
61,Male,No,None,Excellent,Low
41,Female,No,None,Excellent,None
32,Female,No,None,Good,Moderate
49,Male,No,None,Average,High
49,Other,No,1-2 times/week,Excellent,High
41,Female,No,Daily,Average,Moderate
58,Female,No,1-2 times/week,Poor,High
69,Other,Yes,1-2 times/week,Average,Moderate
66,Female,No,1-2 times/week,Poor,Low
66,Male,No,1-2 times/week,Good,High
69,Female,Yes,3-5 times/week,Average,None
29,Female,No,None,Good,None
56,Other,Yes,Daily,Average,Low
19,Male,Yes,Daily,Excellent,Moderate
20,Other,Yes,Daily,Good,High
66,Female,Yes,1-2 times/week,Average,High
54,Female,Yes,None,Good,None
66,Other,No,None,Average,Moderate
34,Other,No,Daily,Poor,Moderate
66,Other,Yes,Daily,Good,High
19,Male,No,1-2 times/week,Excellent,High
19,Female,No,Daily,Good,None
45,Other,No,1-2 times/week,Poor,Moderate
40,Female,No,Daily,Poor,High
54,Male,Yes,None,Excellent,High
49,Male,No,None,Poor,None
50,Male,No,None,Excellent,None
18,Male,No,3-5 times/week,Average,High
36,Female,No,Daily,Poor,Low
19,Male,Yes,3-5 times/week,Average,None
61,Male,No,None,Average,High
43,Other,Yes,Daily,Poor,Low
49,Male,No,3-5 times/week,Excellent,High
23,Other,No,None,Excellent,Moderate
49,Male,No,None,Excellent,Low
21,Male,Yes,Daily,Poor,Moderate
28,Other,No,Daily,Average,High
34,Male,No,1-2 times/week,Good,Low
55,Female,No,Daily,Good,Moderate
41,Female,No,None,Poor,None
22,Male,No,1-2 times/week,Good,Low
69,Female,Yes,1-2 times/week,Average,None
51,Other,No,Daily,Good,None
23,Male,Yes,None,Excellent,Moderate
39,Male,Yes,3-5 times/week,Average,High
28,Other,No,None,Poor,Moderate
65,Other,No,None,Poor,High
33,Other,Yes,Daily,Excellent,Moderate
50,Male,No,3-5 times/week,Good,Moderate
26,Other,No,1-2 times/week,Poor,Low
23,Other,Yes,3-5 times/week,Poor,High
33,Female,No,Daily,Average,None
46,Female,No,None,Average,High
20,Male,No,None,Average,High
37,Female,No,3-5 times/week,Average,Moderate
53,Female,No,3-5 times/week,Poor,None
36,Other,No,Daily,Average,Low
43,Other,No,3-5 times/week,Excellent,Moderate
20,Female,No,Daily,Excellent,Low
36,Female,Yes,1-2 times/week,Average,Low
37,Female,No,3-5 times/week,Average,High
49,Male,No,None,Good,None
24,Male,No,3-5 times/week,Average,High
69,Male,Yes,None,Poor,None
58,Female,No,1-2 times/week,Excellent,Low
50,Female,No,1-2 times/week,Excellent,High
57,Male,No,3-5 times/week,Poor,Low
56,Male,Yes,Daily,Average,Moderate
35,Female,No,None,Good,None
57,Other,No,1-2 times/week,Excellent,Low
18,Male,No,3-5 times/week,Good,Low
28,Female,Yes,1-2 times/week,Excellent,None
45,Female,No,3-5 times/week,Good,Low
42,Other,Yes,None,Excellent,Moderate
67,Female,No,3-5 times/week,Good,Low
40,Female,Yes,None,Average,Low
48,Male,Yes,1-2 times/week,Average,None
47,Male,No,None,Poor,None
59,Other,No,None,Poor,Moderate
52,Other,No,Daily,Good,Low
24,Female,No,1-2 times/week,Good,High
33,Male,Yes,None,Excellent,Moderate
43,Other,Yes,Daily,Poor,High
65,Other,No,Daily,Poor,Low
69,Other,No,None,Excellent,Low
66,Female,No,3-5 times/week,Good,None
19,Male,No,None,Poor,Moderate
18,Other,No,3-5 times/week,Good,High
65,Male,No,None,Average,Low
29,Other,No,1-2 times/week,Good,Low
22,Other,No,Daily,Average,None
